date,candle_begin_time,daily_return,cumulative_return,,
2021/1/2,2021/1/2,0.017824507,0.017824507,,
2021/1/3,2021/1/3,0.025008657,0.043278931,,
2021/1/4,2021/1/4,0.009109119,0.052782283,,
2021/1/5,2021/1/5,0.00213146,0.055026246,,
2021/1/6,2021/1/6,0.022688696,0.078963416,,
2021/1/7,2021/1/7,-0.012845807,0.06510326,,
2021/1/8,2021/1/8,0.011706943,0.077572363,,
2021/1/9,2021/1/9,0.018683254,0.097704921,,
2021/1/10,2021/1/10,0.01570909,0.114948867,,
2021/1/11,2021/1/11,-0.023860232,0.088345928,,
2021/1/12,2021/1/12,0.007350674,0.096346004,,
2021/1/13,2021/1/13,-0.004408993,0.091512223,,
2021/1/14,2021/1/14,0.004359928,0.096271137,,
2021/1/15,2021/1/15,0.059274302,0.161251844,,
2021/1/16,2021/1/16,0.040715151,0.208532387,,
2021/1/17,2021/1/17,0.021934305,0.235040706,,
2021/1/18,2021/1/18,-0.000799409,0.234053403,,
2021/1/19,2021/1/19,-0.016832214,0.213281552,,
2021/1/20,2021/1/20,0.023079122,0.241283024,,
2021/1/21,2021/1/21,0.008795962,0.252201303,,
2021/1/22,2021/1/22,0.001188042,0.253688971,,
2021/1/23,2021/1/23,0.03973768,0.303507662,,
2021/1/24,2021/1/24,0.018435608,0.327538618,,
2021/1/25,2021/1/25,0.006684193,0.336412143,,
2021/1/26,2021/1/26,0.00467795,0.342663812,,
2021/1/27,2021/1/27,0.003022833,0.346722461,,
2021/1/28,2021/1/28,0.00492696,0.353357709,,
2021/1/29,2021/1/29,0.027748512,0.39091137,,
2021/1/30,2021/1/30,0.003117667,0.395247769,,
2021/1/31,2021/1/31,0.011588496,0.411416593,,
2021/2/1,2021/2/1,0.012630592,0.42924362,,
2021/2/2,2021/2/2,-0.013222375,0.410345625,,
2021/2/3,2021/2/3,-0.025878055,0.373848623,,
2021/2/4,2021/2/4,-0.014752678,0.353580676,,
2021/2/5,2021/2/5,0.008044886,0.364470079,,
2021/2/6,2021/2/6,0.002944366,0.368487578,,
2021/2/7,2021/2/7,0.011759233,0.384579943,,
2021/2/8,2021/2/8,-0.004577033,0.378242675,,
2021/2/9,2021/2/9,0.009830875,0.391792006,,
2021/2/10,2021/2/10,0.017635562,0.41633704,,
2021/2/11,2021/2/11,-0.002332936,0.413032816,,
2021/2/12,2021/2/12,0.02994697,0.455348868,,
2021/2/13,2021/2/13,0.026141912,0.493394471,,
2021/2/14,2021/2/14,0.001703215,0.495938043,,
2021/2/15,2021/2/15,-0.012484456,0.47726207,,
2021/2/16,2021/2/16,0.000861834,0.478535225,,
2021/2/17,2021/2/17,0.008555272,0.491184496,,
2021/2/18,2021/2/18,0.000391809,0.491768755,,
2021/2/19,2021/2/19,0.046949539,0.56180661,,
2021/2/20,2021/2/20,-0.064231933,0.461488753,,
2021/2/21,2021/2/21,-0.003083717,0.456981934,,
2021/2/22,2021/2/22,-0.007944607,0.445406786,,
2021/2/23,2021/2/23,-0.011990876,0.428075093,,
2021/2/24,2021/2/24,0.010407978,0.442938468,,
2021/2/25,2021/2/25,-0.005492529,0.435013086,,
2021/2/26,2021/2/26,0.002495796,0.438594586,,
2021/2/27,2021/2/27,0.010218296,0.453294572,,
2021/2/28,2021/2/28,0.00130372,0.455189261,,
2021/3/1,2021/3/1,-0.007505727,0.444267008,,
2021/3/2,2021/3/2,0.000387694,0.444826941,,
2021/3/3,2021/3/3,0.017300534,0.469823219,,
2021/3/4,2021/3/4,0.011035337,0.486043213,,
2021/3/5,2021/3/5,0.004480472,0.492701388,,
2021/3/6,2021/3/6,-0.001710118,0.490148693,,
